Designator,Mid X,Mid Y,Layer,Rotation
C1,58.42,-87.376,top,-90
C2,51.181,-94.361,top,180
C3,51.689,-117.834,top,-90
C4,50.038,-117.834,top,-90
C5,51.689,-114.659,top,-90
C6,55.499,-119.634,top,180
C7,76.962,-84.061,top,0
C8,76.962,-85.712,top,0
C9,73.787,-84.061,top,0
C10,78.613,-80.137,top,-90
C11,68.326,-117.983,top,-90
C12,66.675,-117.983,top,-90
C13,68.326,-114.808,top,-90
C14,72.263,-119.507,top,180
C15,63.119,-100.584,top,0
CR1,52.832,-83.185,top,180
F1,64.897,-74.676,top,-90
FID1,50.8,-75.565,top,0
FID2,82.55,-75.565,top,0
FID3,82.55,-120.015,top,0
J1,54.11,-76.327,top,180
J2,51.562,-108.458,top,-90
L1,52.959,-88.541,top,-90
L2,60.579,-117.856,top,-90
L3,76.835,-75.057,top,0
L4,77.33,-117.856,top,-90
LED1,52.578,-98.552,top,180
LED2,77.47,-97.663,top,180
LED3,77.47,-99.695,top,180
LED4,77.47,-88.9,top,180
LED5,77.47,-106.426,top,180
LED6,77.47,-90.932,top,180
LED7,77.47,-108.458,top,180
Q1,64.435,-79.644,top,180
R1,58.547,-83.185,top,180
R2,51.181,-103.124,top,0
R3,57.15,-112.5,top,-90
R4,55.499,-112.5,top,90
R5,71.501,-76.949,top,0
R6,75.438,-112.649,top,-90
R7,71.501,-78.6,top,0
R8,71.501,-80.251,top,180
R9,71.501,-82.156,top,0
R10,58.801,-112.5,top,90
R11,73.787,-112.649,top,-90
R12,72.136,-112.649,top,90
R13,70.231,-112.649,top,-90
R14,63.119,-102.235,top,0
R15,75.819,-94.361,top,0
R16,78.994,-102.997,top,180
R17,73.279,-89.662,top,-90
R18,75.819,-102.997,top,0
R19,78.994,-94.361,top,180
R20,79.121,-111.76,top,0
S1,65.278,-108.204,top,180
S2,65.278,-88.011,top,180
U1,54.761,-116.425,top,180
U2,75.45,-80.875,top,-90
U3,71.478,-116.428,top,180
U4,63.373,-97.663,top,90
Z1,62.865,-83.185,top,180
