Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",805,2,22µ,C602037
"C10, C14, C6",603,3,22µ,C159801
"C11, C3, C7",603,3,10µF,C96446
"C12, C15, C4, C8",603,4,100n,C1590
"C13, C5, C9",603,3,3n3,C519423
CR1,SOD-123F_LTF,1,SMF17CA,C3719828
F1,FUSE_SMD1812B110TF_YAG,1,SMD1812B110TF,C269149
"L1, L2, L3, L4",VLS5045EX330M,4,VLS5045EX-2R2N,C434831
"LED1, LED4, LED5",LEDC1608X80N,3,150060VS75003,
LED2,LEDC1608X80N,1,150060RS75003,
LED3,LEDC1608X80N,1,150060AS75003,
"LED6, LED7",LEDC1608X80N,2,150060YS75003,
Q1,BUK6D12060PX,1,BUK6D120-60PX,C503628
R1,603,1,1K91,C185353
"R10, R5, R6",603,3,1K6,C165489
"R11, R7",603,2,220K,C123420
"R12, R8",603,2,42K2,C273741
"R13, R9",603,2,28K,C273777
R14,603,1,10K,C98220
R15,603,1,365,C227839
R16,603,1,402,C185331
"R17, R18",603,2,210,C227706
"R19, R20",603,2,887,C273768
R2,805,1,2K,C114572
R3,603,1,100K,C14675
R4,603,1,31K6,C185339
"S1, S2",PTS636SK25JSMTRLFS,2,Tactile Switch 6mm,C2800965
"U1, U2, U3",QFN50P300X300X100-17N-D,3,TPS62130RGTR,C43590
U4,UFQFPN20_3X3_STM,1,STM32C011F4U6TR,C5456188
Z1,SOD3716X145N,1,MMSZ5231B-7-F,C85181
